C5683	微信	游戏有自己漫画故事引导贯穿的故事模式，整个故事在每关的开启会一步一步的解开整个主人公穿越三国的秘密和扑朔迷离的紧张环节。神龙魅影版本：1 更新时间：2015-06-24	C183901:WiFi信号增强…, C20252:京东, C9319:QQ, C3466:酷狗音乐, C34075:手机淘宝, C5373:支付宝, C10191116:图片合成器, C10017070:高铁管家, C3382:百度地图, C10047107:滴滴出行, C5683:微信, C9319:QQ, C7166:微博, C23563:陌陌, C10085602:花粉俱乐部, C10154337:易信, C2543:QQ同步助手, C19185:百度贴吧, C30467:飞信, C31575:139邮箱
C32569	优酷	一款单机益智冒险休闲的消除游戏，来到梦幻美丽的庄园，见证缤纷万物色彩，闪耀之星，做最酷炫的连线爆破杀手，让我们一起来连线消除大作战！天使护守版本：7 更新时间：2015-06-24	C183901:WiFi信号增强…, C174391:百度云, C10047107:滴滴出行, C20252:京东, C185099:个性彩铃, C10099655:铁路12306, C57236:今日头条, C3466:酷狗音乐, C5326:乐视视频, C2682:搜狗输入法, C10021449:音乐, C2002:爱奇艺, C3466:酷狗音乐, C20960:搜狐视频, C32569:优酷, C29156:腾讯视频, C290:酷我音乐, C2068:多米音乐, C10220136:QQ音乐, C10162466:爱看4G视频
C10608	大众点评	大众点评:【新用户福利】第一单免费吃喝玩乐，好东西只送不卖！ 【活动预告】 -1月25日-31日，功夫熊猫3倾情上映，集齐熊猫贴纸，免费看电影！ -2月1日-14日，大咖发红包，豪发6亿红包，最高2016元！ -2月14日-2月18日，情人节电影专场9.9两张电影票！ -2月14日-2月28日，女医明妃传，摇一摇送大红包！ -2月2	C10047107:滴滴出行, C34075:手机淘宝, C20252:京东, C32840:掌阅iReader, C5373:支付宝, C6000474:无线城市, C5206:美团, C6015363:肯德基, C165979:雅漾EAU T…, C3382:百度地图, C34075:手机淘宝, C5373:支付宝, C10049053:华为商城, C5206:美团, C57804:天猫, C10608:大众点评, C20252:京东, C31975:墨迹天气, C135323:灵犀语音助手, C9136:唯品会
C21976	UC浏览器	1、满200元下单立减100元，满100元下单立减50元 2、满200元下单立减100元，满100元下单立减50元 3、满200元下单立减100元，满100元下单立减50元 重要的事情讲3遍，欢迎大家来约 最专业的在线预约上门美容服务，给您最专业、最便捷的美容私享定制。 APP应用： 美姿约APP由美姿约专业技术团队倾力开	C183901:WiFi信号增强…, C10237646:3D暴力飙车, C10212671:阿达脑训练, C174391:百度云, C10059250:神庙逃亡2, C34075:手机淘宝, C5683:微信, C3382:百度地图, C20252:京东, C10057661:Google Play, C27162:华为应用市场, C66323:华为备份, C10055832:华为文件管理(…, C21976:UC浏览器, C10067631:华为手机服务, C10207207:华为云服务, C20679:QQ浏览器, C10059090:华为游戏中心, C10060708:华为支付, C2682:搜狗输入法
C10059090	华为游戏中心	华为游戏中心是华为公司提供的安卓游戏下载平台，所有游戏都经过专业的测评团队层层检测，为您推荐最安全质量最高的游戏内容， 目前我们有20万游戏聚众平台，个性化专题定制，和丰富多元的游戏礼包，还有游戏论坛供大家互动，华为游戏中心不单服务所有华为用户，还支持国内主流安卓机型。 新版本特性： 1、游戏动态： 一大波好游戏在此发布有奖活动、动态及攻略	C183901:WiFi信号增强…, C10138048:消灭星星2-粉碎…, C10237646:3D暴力飙车, C54626:铃声多多, C10191116:图片合成器, C10114178:流量宝, C10113531:保卫萝卜2, C10134672:开心消消乐, C20252:京东, C174391:百度云, C27162:华为应用市场, C66323:华为备份, C10055832:华为文件管理(…, C21976:UC浏览器, C10067631:华为手机服务, C10207207:华为云服务, C20679:QQ浏览器, C10059090:华为游戏中心, C10060708:华为支付, C2682:搜狗输入法
C27162	华为应用市场	我们坚信 每个人都是造物者 有些人是苏醒的 而有些人是沉睡的 我们正在做的就是 让苏醒的人不忘记自己的身份和使命 让沉睡的人 苏醒                                                                                        	C20252:京东, C183901:WiFi信号增强…, C10067631:华为手机服务, C6014423:Google 键盘, C10047107:滴滴出行, C54626:铃声多多, C9319:QQ, C32569:优酷, C77434:违章查询助手, C37161:YY, C27162:华为应用市场, C66323:华为备份, C10055832:华为文件管理(…, C21976:UC浏览器, C10067631:华为手机服务, C10207207:华为云服务, C20679:QQ浏览器, C10059090:华为游戏中心, C10060708:华为支付, C2682:搜狗输入法
C10055832	华为文件管理(含网盘)	华为文件管理(含网盘):【软件介绍】  【华为文件管理】是华为公司为用户精心打造的一款好用、易用的资源管理共享类应用软件。体贴的分类让您可以快速找到图片、音频、文档、视频、压缩包等文件，不再纠结于N级的文件目录。 【华为文件管理】支持中文、英文、法语、西班牙语、俄语、日语、韩语等42国语言，适配华为手机安卓系统4.0及以上。  【功能特色】  1.支持	C54626:铃声多多, C174391:百度云, C10067631:华为手机服务, C183901:WiFi信号增强…, C10047107:滴滴出行, C10017070:高铁管家, C10100910:清理精灵, C62612:鲁大师, C10124645:神偷奶爸：小黄…, C10057661:Google Play, C27162:华为应用市场, C66323:华为备份, C10055832:华为文件管理(…, C21976:UC浏览器, C10067631:华为手机服务, C10207207:华为云服务, C20679:QQ浏览器, C10059090:华为游戏中心, C10060708:华为支付, C2682:搜狗输入法
C20911	高德地图	《飞机乐乐》 挑选您的飞机来战个痛快吧！在《飞机乐乐》这款节奏明快的游戏中，您将扮演一位英雄操作您的战机，在辽阔的空中对战，激发出超炫的弹幕、在激昂的音乐中体验多样的战斗风格，取这变幻莫测的战局的控制权。《飞机乐乐》所蕴含的游戏深度和魅力都将让您体验视觉与听觉的双重盛宴。  简单易上手: 充满趣味的空战让您感受《飞机乐乐》最为激情的游戏魅力。     	C183901:WiFi信号增强…, C10017070:高铁管家, C10099655:铁路12306, C31346:手机百度, C20252:京东, C107870:e代驾, C9319:QQ, C10099610:博雅中国象棋, C3382:百度地图, C34075:手机淘宝, C3382:百度地图, C20911:高德地图, C262:去哪儿旅行, C5157:携程旅行, C5745:天翼导航, C3403:高德导航, C39196:艺龙旅行, C10067576:116114, C10043914:和地图, C12192:同程旅游
C57236	今日头条	★用户量过3亿的新闻阅读客户端   ★占领AppStore新闻类榜首24个月   ★每天用户总在线时长超过7.2亿分钟   ★每天社交平台分享量达1000万次   ★5秒钟掌握你的新闻阅读兴趣点     你关心的，才是头条！《今日头条》会聪明地分析你的兴趣爱好，理解你的阅读行为，为你推荐	C4543:和讯财经, C43442:新浪新闻, C19168:凤凰新闻, C32840:掌阅iReader, C20252:京东, C183901:WiFi信号增强…, C2022:搜狐新闻, C3674:凤凰视频, C55726:明星同款-一闪…, C10191116:图片合成器, C2022:搜狐新闻, C9147:网易新闻, C57236:今日头条, C104688:腾讯新闻, C179773:爱读掌阅, C86189:爱动漫, C28837:ZAKER, C149006:塔读文学, C10084466:咪咕阅读, C6092:书旗小说
C29156	腾讯视频	天才宝宝：为你精选的育儿日报天才宝宝版本：9 更新时间：2015-10-09	C183901:WiFi信号增强…, C10191116:图片合成器, C23632:谷歌翻译, C7256:快手看片, C20252:京东, C164990:移动练歌房, C34075:手机淘宝, C23707:违章查询, C10180621:最美锁屏, C22852:暴风影音, C10021449:音乐, C2002:爱奇艺, C3466:酷狗音乐, C20960:搜狐视频, C32569:优酷, C29156:腾讯视频, C290:酷我音乐, C2068:多米音乐, C10220136:QQ音乐, C10162466:爱看4G视频
